Waypoint_Number,Name,Latitude,Longitude,GPS_Coordinates,Altitude_m
1,WP1,36.27027120123276,-105.5773198106762,"36.270271, -105.577320",0.0
2,WP2,36.27032285617237,-105.5772489157377,"36.270323, -105.577249",0.0
3,WP3,36.27038890953831,-105.5771938075848,"36.270389, -105.577194",0.0
4,WP4,36.27044297979879,-105.577214168779,"36.270443, -105.577214",0.0
5,WP5,36.2704865837953,-105.577269669445,"36.270487, -105.577270",0.0
6,WP6,36.27053326609559,-105.577309547618,"36.270533, -105.577310",0.0
7,WP7,36.2706096815217,-105.5773602493099,"36.270610, -105.577360",0.0
8,WP8,36.2707743501221,-105.5773941154378,"36.270774, -105.577394",0.0
9,WP9,36.27088441471887,-105.5774615212157,"36.270884, -105.577462",0.0
10,WP10,36.27096570835503,-105.5775508639771,"36.270966, -105.577551",0.0
11,WP11,36.27106351451803,-105.5776605471881,"36.271064, -105.577661",0.0
12,WP12,36.27117350002735,-105.5776762159884,"36.271174, -105.577676",0.0
13,WP13,36.27127238903485,-105.577652162955,"36.271272, -105.577652",0.0
14,WP14,36.27139669810209,-105.5776746571168,"36.271397, -105.577675",0.0
15,WP15,36.27150311978589,-105.5777231749238,"36.271503, -105.577723",0.0
16,WP16,36.27165078987034,-105.577747105618,"36.271651, -105.577747",0.0
17,WP17,36.27174485496674,-105.5777282668757,"36.271745, -105.577728",0.0
